Principio Attivo	Descrizione Gruppo Equivalenza	Denominazione e Confezione	Prezzo al pubblico �	Titolare AIC	"Codice 
AIC"	Codice Gruppo Equivalenza	X=in lista di trasparenza Aifa 15/12/2020	Solo in lista di Regione:	Metri cubi ossigeno 
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CLAXON*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	GENETIC SpA	36642066	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	DAVIXON*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	NEW RESEARCH Srl	35816040	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	DAYTRIX*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	C.T. LAB.FARMACEUTICO Srl	36093033	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	DIAXONE*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	EURO-PHARMA Srl	36314021	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	EFTRY*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	FARTO Srl	36102010	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	ERAXITRON*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	I.B.N. SAVIO Srl	35801036	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	FIDATO*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	FIDIA FARMACEUTICI SpA	35867035	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	FRINEG*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	EPIFARMA Srl	35866033	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	KOCEFAN*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	NEOPHARMED GENTILI SpA	35965033	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	NILSON*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	DYMALIFE PHARMACEUTICAL Srl	35925027	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	PANATRIX*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	S.F. GROUP Srl	36015030	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	PANTOXON*1 flacone polv IM 1 g + 1 fiala solv 3,5 ml	4,96	AESCULAPIUS FARMACEUTICI Srl	35952023	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	POKECEF*1 fiala IM 1 g + 1 fiala 3,5 ml	4,96	RO-FARM.di DE MAIO SALVATORE&C	36212037	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	RAGEX*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	AGIPS FARMACEUTICI Srl	35927033	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	SETRIOX*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	S.F. GROUP Srl	35922032	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	SIRTAP*1 fiala IM 1 g + 1 fiala solv 3,5 ml	4,96	SO.SE.PHARM Srl	35815024	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	VALEXIME*1 flacone IM 1 g + 1 fiala solv 3,5 ml	4,96	LANOVA FARMACEUTICI Srl	35824010	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	CEFTRIAXONE*1 flacone IM 1 g/3,5 ml + 1 fiala solv 3,5 ml	5,96	FRESENIUS KABI ITALIA Srl	35906039	C0C	X		
Ceftriaxone	CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE	ROCEFIN*1 flaconcino IM 1 g + 1 fiala solv 3,5 ml	6,94	ROCHE SpA	25202058	C0C	X		
Cefuroxima	CEFUROXIMA 1.000MG 1 UNITA' USO PARENTERALE	ITOREX*1 fiala IM 1 g + 1 fiala solv 4 ml	3,07	TECNOPHARMA ITALIA Srl	24105013	63B	X		
Cefuroxima	CEFUROXIMA 1.000MG 1 UNITA' USO PARENTERALE	CUROXIM*1 flacone IM 1 g + 1 fiala solv 4 ml	4,20	GLAXOSMITHKLINE SpA	23576046	63B	X		
Cefuroxima	CEFUROXIMA 250MG 12 UNITA' USO ORALE	CEFUROXIMA*12 cpr riv 250 mg	7,92	SANDOZ SpA	37732082	63C	X		
Cefuroxima	CEFUROXIMA 250MG 12 UNITA' USO ORALE	ORAXIM*12 cpr riv 250 mg	8,92	MALESCI SpA IST.FARMACOBIOL.	27002029	63C	X		
Cefuroxima	CEFUROXIMA 250MG 12 UNITA' USO ORALE	ZINNAT*12 cpr riv 250 mg	8,92	GLAXOSMITHKLINE SpA	26915025	63C	X		
Cefuroxima	CEFUROXIMA 500MG 6 UNITA' USO ORALE	TILEXIM*6 cpr riv 500 mg	6,10	I.B.N. SAVIO Srl	27020039	63D	X		
Cefuroxima	CEFUROXIMA 500MG 6 UNITA' USO ORALE	CEFUROXIMA*6 cpr riv 500 mg	6,16	EG SpA	26917031	63D	X		
Cefuroxima	CEFUROXIMA 500MG 6 UNITA' USO ORALE	CEFUROXIMA*6 cpr riv 500 mg	6,16	SANDOZ SpA	37732308	63D	X		
Cefuroxima	CEFUROXIMA 500MG 6 UNITA' USO ORALE	ORAXIM*6 cpr riv 500 mg	7,16	MALESCI SpA IST.FARMACOBIOL.	27002031	63D	X		
Cefuroxima	CEFUROXIMA 500MG 6 UNITA' USO ORALE	ZINNAT*6 cpr riv 500 mg	7,16	GLAXOSMITHKLINE SpA	26915037	63D	X		
Cefuroxima	CEFUROXIMA 125MG/5ML 100ML USO ORALE	ORAXIM*orale sosp grat 100 ml 125 mg/5 ml	13,78	MALESCI SpA IST.FARMACOBIOL.	27002043	63E			
Cefuroxima	CEFUROXIMA 250MG/5ML 50ML USO ORALE	ORAXIM*orale sosp grat 50 ml 250 mg/5 ml	13,78	MALESCI SpA IST.FARMACOBIOL.	27002070	63F			
Cefuroxima	CEFUROXIMA 250MG/5ML 50ML USO ORALE	ZINNAT*orale sosp grat 50 ml 250 mg/5 ml	13,78	GLAXOSMITHKLINE SpA	26915076	63F			
Cefuroxima	CEFUROXIMA 500MG 2ML 1 UNITA' USO PARENTERALE	CUROXIM*1 flacone IM 500 mg + 1 fiala solv 2 ml	2,32	GLAXOSMITHKLINE SpA	23576022	63H			
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	AUROBINDO PHARMA ITALIA Srl	44073017	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	DOC GENERICI Srl	41938174	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	EG SpA	42332181	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	LABORATORI ALTER Srl	43500014	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	MYLAN SpA	42533125	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	MYLAN SpA	42568105	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	PENSA PHARMA SpA	41939036	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	PFIZER ITALIA Srl	40788198	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	SANDOZ SpA	42328082	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	SUN PHARMACEUTICAL IND.EU.B.V.	42765065	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	TECNIMEDE SOC.TECNICO-MED.S.A.	41955028	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	TEVA ITALIA Srl	40512220	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELECOXIB*20 cps 200 mg	7,00	ZENTIVA ITALIA Srl	42258095	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	COXIBEN*20 cps 200 mg	7,00	S.F. GROUP Srl	43133026	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELARTROX*20 cps 200 mg	8,40	S.F. GROUP Srl	42559031	J1A	X		
Celecoxib	CELECOXIB 200MG 20 UNITA' USO ORALE	CELEBREX*20 cps 200 mg	10,40	PFIZER ITALIA Srl	34624460	J1A	X		
Celecoxib	CELECOXIB 100MG 40 UNITA' USO ORALE	CELEBREX*40 cps 100 mg blister AL/PVC trasparente	10,40	PFIZER ITALIA Srl	34624066	J1B			
Celiprololo	CELIPROLOLO 200MG 28 UNITA' USO ORALE	CORDIAX*28 cpr riv 200 mg	9,98	S.F. GROUP Srl	25655010	J2A			
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETERIS*20 cpr riv 10 mg	3,60	SO.SE.PHARM Srl	37819024	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr div 10 mg	3,60	ABC FARMACEUTICI SpA	37911017	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr div 10 mg	3,60	PENSA PHARMA SpA	37827019	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr div 10 mg	3,60	SUN PHARMACEUTICAL IND.EU.B.V.	37653019	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	ACCORD HEALTHCARE SLU	37635012	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	DOC GENERICI Srl	37654011	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	EG SpA	37655014	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	GERMED PHARMA Srl	39111048	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	IPSO PHARMA Srl	37636014	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	LABORATORI ALTER Srl	36910014	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	MYLAN SpA	37713082	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	SANDOZ SpA	37629045	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	TEVA ITALIA Srl	42741049	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv 10 mg	3,60	ZENTIVA ITALIA Srl	37300047	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CETIRIZINA*20 cpr riv div 10 mg	3,60	AUROBINDO PHARMA ITALIA Srl	43111018	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	PRIZITEC*20 cpr riv 10 mg	3,60	GENETIC SpA	37638018	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	SOTRIZOL*20 cpr riv 10 mg	3,60	DYMALIFE PHARMACEUTICAL Srl	37895024	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	STAMIDIX*20 cpr div 10 mg	3,60	IDI FARMACEUTICI Srl	37339013	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	TEZASTIN*20 cpr riv 10 mg	3,60	EPIFARMA Srl	37637016	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	CERCHIO*20 cpr div 10 mg	4,85	NEOPHARMED GENTILI SpA	37736016	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	FORMISTIN*20 cpr riv 10 mg	4,85	IST.LUSOFARMACO D'ITALIA SpA	27329010	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	LEVIORINIL*20 cpr riv 10 mg	4,85	AESCULAPIUS FARMACEUTICI Srl	37356019	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	SUSPIRIA*20 cpr riv 10 mg	4,85	KONPHARMA Srl	38035022	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	AXERAMIS*20 cpr riv 10 mg	5,68	DOMPE' FARMACEUTICI SpA	37639010	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,37	MEDIFARM Srl	41894027	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	BB FARMA Srl	38386025	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	FARMA 1000 Srl	38777025	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	FARMAROC Srl	43098019	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	FARMAVOX Srl	43015015	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	GEKOFAR Srl	43629017	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	GENERAL PHARMA SOLUTIONS SpA	43707025	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	GMM FARMA Srl	42955029	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	NEW PHARMASHOP Srl	43824010	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	PHARMACYVALUE Srl	42871018	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	PROGRAMMI SANIT.INTEGRATI Srl	39316031	DFA	X		
Cetirizina	CETIRIZINA 10MG 20 UNITA' USO ORALE	ZIRTEC*20 cpr riv 10 mg	8,60	UCB PHARMA SpA	26894016	DFA	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETERIS*orale gtt 20 ml 10 mg/ml flacone	5,90	SO.SE.PHARM Srl	37819036	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml	5,90	PENSA PHARMA SpA	37827021	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	ABC FARMACEUTICI SpA	37911029	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	ACCORD HEALTHCARE SLU	37635024	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	AUROBINDO PHARMA ITALIA Srl	38054021	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	DOC GENERICI Srl	37654023	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	EG SpA	37655026	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	MYLAN SpA	38619019	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	SUN PHARMACEUTICAL IND.EU.B.V.	37653021	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CETIRIZINA*orale gtt 20 ml 10 mg/ml flacone	5,90	TEVA ITALIA Srl	37318021	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	GENERIT*orale gtt 20 cont monod 1 ml 10 mg	5,90	GENETIC SpA	38628020	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	GENERIT*orale gtt 20 ml 10 mg/ml flacone	5,90	GENETIC SpA	38628018	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	PRIZITEC*orale gtt 20 ml 10 mg/ml flacone	5,90	GENETIC SpA	37638020	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	RAINGEN*orale gtt 20 cont monod 1 ml 10 mg	5,90	GENETIC SpA	38630024	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	RAINGEN*orale gtt 20 ml 10 mg/ml flacone	5,90	GENETIC SpA	38630012	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	RITECAM*orale gtt 20 ml 10 mg/ml flacone	5,90	GENETIC SpA	38629010	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	RITECAM*orale gtt 20 monod 1 ml 10 mg/ml	5,90	GENETIC SpA	38629022	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	SOTRIZOL*orale gtt 20 ml 10 mg/ml flacone	5,90	DYMALIFE PHARMACEUTICAL Srl	37895036	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	STAMIDIX*orale gtt 20 ml 10 mg/ml flacone	5,90	IDI FARMACEUTICI Srl	37339025	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	TEZASTIN*orale gtt 20 ml 10 mg/ml flacone	5,90	EPIFARMA Srl	37637028	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	CERCHIO*orale gtt 20 ml 10 mg/ml flacone	6,49	NEOPHARMED GENTILI SpA	37736028	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	FORMISTIN*orale gtt 20 ml 10 mg/ml flacone	6,49	IST.LUSOFARMACO D'ITALIA SpA	27329022	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	SUSPIRIA*orale gtt 20 ml 10 mg/ml flacone	6,49	KONPHARMA Srl	38035034	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	AXERAMIS*orale gtt 20 ml 10 mg/ml	7,37	DOMPE' FARMACEUTICI SpA	37639022	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,54	FARMA 1000 Srl	38777013	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,61	MEDIFARM Srl	41894015	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,89	GEKOFAR Srl	43629029	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	BB FARMA Srl	38386013	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	FARMED Srl	43476011	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	FOUR PHARMA CRO Srl	44540019	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	GENERAL PHARMA SOLUTIONS SpA	43707013	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	GMM FARMA Srl	42955017	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	GMM FARMA Srl	42955031	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	MPF PHARMA Srl	41987013	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	PROGRAMMI SANIT.INTEGRATI Srl	39316029	DFB	X		
Cetirizina	CETIRIZINA 1% 20ML USO ORALE	ZIRTEC*orale gtt 20 ml 10 mg/ml flacone	10,90	UCB PHARMA SpA	26894028	DFB	X		
Cianocobalamina	CIANOCOBALAMINA 1.000MCG 5 UNITA' USO PARENTERALE	DOBETIN*5 fiale 1.000 mcg 1 ml	4,71	ANGELINI SpA	3785033	B6A			
Cianocobalamina	CIANOCOBALAMINA 20MCG/ML 15ML USO ORALE	DOBETIN*orale gtt 15 ml 20 mcg/ml	3,00	ANGELINI SpA	3785058	B6B			
Ciclesonide	CICLESONIDE 160MCG 60 DOSI USO RESPIRATORIO	ALVESCO*soluz inal 60 erog 160 mcg	35,65	SIMESA SpA	38873055	J3A			
Ciclesonide	CICLESONIDE 80MCG 60 DOSI USO RESPIRATORIO	ALVESCO*soluz inal 60 erog 80 mcg	30,95	SIMESA SpA	38873030	J3B			
Ciclofosfamide	CICLOFOSFAMIDE 50MG 50 UNITA' USO ORALE	ENDOXAN*50 cpr riv 50 mg	13,87	BAXTER SpA	15628011	J4A			
Ciclosporina	CICLOSPORINA 100MG 30 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	CIQORIN*30x1 cps molli 100 mg	55,34	TEVA ITALIA Srl	42787299	J5A	X		
Ciclosporina	CICLOSPORINA 100MG 30 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	SANDIMMUN NEORAL*30 cps molli 100 mg	122,98	NOVARTIS FARMA SpA	29453038	J5A	X		
Ciclosporina	CICLOSPORINA 100MG/ML 50ML USO ORALE PICCO EMATICO 1 - 6 ORE	SANDIMMUN*orale soluz 50 ml 100 mg/ml + siringa	202,05	NOVARTIS FARMA SpA	25306010	J5B			
Ciclosporina	CICLOSPORINA 10MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	CIQORIN*50x1 cps molli 10 mg	10,17	TEVA ITALIA Srl	42787251	J5C	X		
Ciclosporina	CICLOSPORINA 10MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	SANDIMMUN NEORAL*50 cps molli 10 mg	22,59	NOVARTIS FARMA SpA	29453053	J5C	X		
Ciclosporina	CICLOSPORINA 25MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	CIQORIN*50x1 cps molli 25 mg	25,41	TEVA ITALIA Srl	42787263	J5D	X		
Ciclosporina	CICLOSPORINA 25MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	SANDIMMUN NEORAL*50 cps molli 25 mg	56,48	NOVARTIS FARMA SpA	29453014	J5D	X		
Ciclosporina	CICLOSPORINA 50MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	CIQORIN*50x1 cps molli 50 mg	49,28	TEVA ITALIA Srl	42787275	J5E	X		
Ciclosporina	CICLOSPORINA 50MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE	SANDIMMUN NEORAL*50 cps molli 50 mg	109,50	NOVARTIS FARMA SpA	29453026	J5E	X		
Ciclosporina	CICLOSPORINA 50MG/ML 5ML 10 UNITA' USO PARENTERALE	SANDIMMUN*10 fiale EV 250 mg 5 ml	142,27	NOVARTIS FARMA SpA	25306022	J5F			
Ciclosporina	CICLOSPORINA 25MG 50 UNITA' USO ORALE PICCO EMATICO 5 - 6 ORE	SANDIMMUN*50 cps 25 mg	58,17	NOVARTIS FARMA SpA	25306034	JCX			
Ciclosporina	CICLOSPORINA 50MG 50 UNITA' USO ORALE PICCO EMATICO 5 - 6 ORE	SANDIMMUN*50 cps 50 mg	111,80	NOVARTIS FARMA SpA	25306046	JCY			
Ciclosporina	CICLOSPORINA 100MG 30 UNITA' USO ORALE PICCO EMATICO 5 - 6 ORE	SANDIMMUN*30 cps 100 mg	131,20	NOVARTIS FARMA SpA	25306059	JCZ			
Ciclosporina	CICLOSPORINA 100MG/ML 50ML USO ORALE PICCO EMATICO 1 - 2 ORE	SANDIMMUN NEORAL*orale soluz 50 ml 100 mg/ml	201,09	NOVARTIS FARMA SpA	29453040	JVR			
Ciclosporina	CICLOSPORINA 1MG/ML 120 UNITA' USO OFTALMICO	VERKAZIA*collirio 120 contenitori monodose 1 mg/ml 0,3 ml	536,21	SANTEN OY	46918049	LCR			
Cilazapril	CILAZAPRIL 5MG 14 UNITA' USO ORALE	INIBACE*14 cpr riv 5 mg	11,06	CHEPLAPHARM ARZNEIMITTEL GMBH	27460043	J6A			
Cilazapril	CILAZAPRIL 5MG 14 UNITA' USO ORALE	INITISS*14 cpr riv 5 mg	11,06	TEOFARMA Srl	27464041	J6A			
Cilazapril/idroclorotiazide	CILAZAPRIL+IDROCLOROTIAZIDE 5+12,5MG 14 UNITA' USO ORALE	INIBACE PLUS*14 cpr riv 5 mg + 12,5 mg	8,63	CHEPLAPHARM ARZNEIMITTEL GMBH	29103013	J7A			
Cilazapril/idroclorotiazide	CILAZAPRIL+IDROCLOROTIAZIDE 5+12,5MG 14 UNITA' USO ORALE	INITISS PLUS*14 cpr 5 mg + 12,5 mg	8,63	TEOFARMA Srl	29116011	J7A			
Cinacalcet	CINACALCET 30MG 28 UNITA' USO ORALE	CINACALCET*28 cpr riv 30 mg	26,50	DOC GENERICI Srl	46894010	J9A	X		
Cinacalcet	CINACALCET 30MG 28 UNITA' USO ORALE	CINACALCET*28 cpr riv 30 mg	26,50	DR. REDDY'S Srl	47567021	J9A	X		
Cinacalcet	CINACALCET 30MG 28 UNITA' USO ORALE	CINACALCET*28 cpr riv 30 mg	40,19	EG SpA	46284016	J9A	X		
Cinacalcet	CINACALCET 30MG 28 UNITA' USO ORALE	CINACALCET*28 cpr riv 30 mg	40,19	SANDOZ GMBH	45766019	J9A	X		
